cidad_cod,uf_cod,cidad_des,cidad_cod_ibge,cidad_des_abrev,cidad_tip,cidad_cod_prftra,cidad_cod_siafi
1100106,RO,GUAJARA-MIRIM,1100106,,,,0001
1100379,RO,ALTO ALEGRE DOS PARECIS,1100379,,,,0002
1100205,RO,PORTO VELHO,1100205,,,,0003
1100940,RO,CUJUBIM,1100940,,,,0008
1100304,RO,VILHENA,1100304,,,,0013
1100114,RO,JARU,1100114,,,,0015
1101476,RO,PRIMAVERA DE RONDONIA,1101476,,,,0016
1100155,RO,OURO PRETO DO OESTE,1100155,,,,0017
1101492,RO,SAO FRANCISCO DO GUAPORE,1101492,,,,0020
1101559,RO,TEIXEIROPOLIS,1101559,,,,0022
1100064,RO,COLORADO DO OESTE,1100064,,,,0023
5204557,GO,CALDAZINHA,5204557,,,,0031
1400282,RR,IRACEMA,1400282,,,,0032
1100346,RO,ALVORADA D'OESTE,1100346,,,,0035
1400472,RR,RORAINOPOLIS,1400472,,,,0036
1100031,RO,CABIXI,1100031,,,,0037
1100130,RO,MACHADINHO D'OESTE,1100130,,,,0039
1501451,PA,BELTERRA,1501451,,,,0044
1502152,PA,CANAA DOS CARAJAS,1502152,,,,0048
5212055,GO,JESUPOLIS,5212055,,,,0049
1503044,PA,FLORESTA DO ARAGUAIA,1503044,,,,0052
5219738,GO,SANTO ANTONIO DE GOIAS,5219738,,,,0053
1504976,PA,NOVA IPIXUNA,1504976,,,,0056
5221577,GO,UIRAPURU,5221577,,,,0059
1505650,PA,PLACAS,1505650,,,,0060
5203962,GO,BURITINOPOLIS,5203962,,,,0061
5203939,GO,BURITI DE GOIAS,5203939,,,,0063
1507466,PA,SAO JOAO DA PONTA,1507466,,,,0064
1508035,PA,TRACUATEUA,1508035,,,,0068
1600808,AP,VITORIA DO JARI,1600808,,,,0070
5201454,GO,APARECIDA DO RIO DOCE,5201454,,,,0071
1700301,TO,AGUIARNOPOLIS,1700301,,,,0072
5216452,GO,PEROLANDIA,5216452,,,,0075
5205497,GO,CIDADE OCIDENTAL,5205497,,,,0077
1704600,TO,CHAPADA DE AREIA,1704600,,,,0078
1706258,TO,CRIXAS DO TOCANTINS,1706258,,,,0082
5200555,GO,ALTO HORIZONTE,5200555,,,,0085
1712157,TO,LAVANDEIRA,1712157,,,,0086
5214879,GO,NOVA IGUACU DE GOIAS,5214879,,,,0087
1713700,TO,MONTE SANTO DO TOCANTINS,1713700,,,,0090
5107404,MT,SAO PEDRO DA CIPA,5107404,,,,0093
1718451,TO,PUGMIL,1718451,,,,0094
5106653,MT,PONTAL DO ARAGUAIA,5106653,,,,0095
5107065,MT,QUERENCIA,5107065,,,,0097
1720002,TO,SANTA TEREZINHA DO TOCANTINS,1720002,,,,0098
5107198,MT,RIBEIRAOZINHO,5107198,,,,0099
1721257,TO,TUPIRAMA,1721257,,,,0102
2100154,MA,AGUA DOCE DO MARANHAO,2100154,,,,0104
1200104,AC,BRASILEIA,1200104,,,,0105
1200203,AC,CRUZEIRO DO SUL,1200203,,,,0107
2100477,MA,ALTO ALEGRE DO PINDARE,2100477,,,,0108
5107263,MT,SANTO AFONSO,5107263,,,,0115
2101251,MA,BACABEIRA,2101251,,,,0116
5106158,MT,NOVA BANDEIRANTES,5106158,,,,0117
5108956,MT,NOVA MONTE VERDE,5108956,,,,0119
2101731,MA,BELAGUA,2101731,,,,0120
2101939,MA,BERNARDO DO MEARIM,2101939,,,,0124
5100359,MT,ALTO BOA VISTA,5100359,,,,0127
2102036,MA,BOM JESUS DAS SELVAS,2102036,,,,0128
5103353,MT,CONFRESA,5103353,,,,0131
2102150,MA,BREJO DE AREIA,2102150,,,,0132
5103957,MT,GLORIA D'OESTE,5103957,,,,0135
2102358,MA,BURITIRANA,2102358,,,,0136
1200401,AC,RIO BRANCO,1200401,,,,0139
2102556,MA,CAMPESTRE DO MARANHAO,2102556,,,,0140
5006002,MS,NOVA ALVORADA DO SUL,5006002,,,,0143
2103125,MA,CENTRAL DO MARANHAO,2103125,,,,0144
1200609,AC,TARAUACA,1200609,,,,0147
2103174,MA,CENTRO NOVO DO MARANHAO,2103174,,,,0148
1200450,AC,SENADOR GUIOMARD,1200450,,,,0153
2103752,MA,DAVINOPOLIS,2103752,,,,0154
1200344,AC,MANOEL URBANO,1200344,,,,0155
1200054,AC,ASSIS BRASIL,1200054,,,,0157
2104081,MA,FERNANDO FALCAO,2104081,,,,0158
2104552,MA,GOVERNADOR EDISON LOBAO,2104552,,,,0162
5005251,MS,LAGUNA CARAPA,5005251,,,,0163
2104651,MA,GOVERNADOR NEWTON BELLO,2104651,,,,0166
2105153,MA,IGARAPE DO MEIO,2105153,,,,0170
1703826,TO,CACHOEIRINHA,1703826,,,,0171
2105351,MA,ITAIPAVA DO GRAJAU,2105351,,,,0172
2105450,MA,JATOBA,2105450,,,,0176
2105658,MA,JUNCO DO MARANHAO,2105658,,,,0180
1712801,TO,MAURILANDIA DO TOCANTINS,1712801,,,,0183
2105948,MA,LAGO DOS RODRIGUES,2105948,,,,0184
1716307,TO,PAU D'ARCO,1716307,,,,0191
2106359,MA,MARAJA DO SENA,2106359,,,,0192
1718865,TO,SANTA FE DO ARAGUAIA,1718865,,,,0195
2106631,MA,MATOES DO NORTE,2106631,,,,0196
2107258,MA,NOVA COLINAS,2107258,,,,0200
1300102,AM,ANORI,1300102,,,,0203
2107456,MA,OLINDA NOVA DO MARANHAO,2107456,,,,0204
1300201,AM,ATALAIA DO NORTE,1300201,,,,0205
1300300,AM,AUTAZES,1300300,,,,0207
2108256,MA,PEDRO DO ROSARIO,2108256,,,,0208
1300409,AM,BARCELOS,1300409,,,,0209
2109056,MA,PORTO RICO DO MARANHAO,2109056,,,,0212
1300607,AM,BENJAMIN CONSTANT,1300607,,,,0213
2109270,MA,PRESIDENTE SARNEY,2109270,,,,0216
1300805,AM,BORBA,1300805,,,,0217
2109551,MA,RIBAMAR FIQUENE,2109551,,,,0220
1301001,AM,CARAUARI,1301001,,,,0221
2110237,MA,SANTANA DO MARANHAO,2110237,,,,0224
1301209,AM,COARI,1301209,,,,0225
1301407,AM,EIRUNEPE,1301407,,,,0229
2110856,MA,SAO FRANCISCO DO BREJAO,2110856,,,,0230
1301605,AM,FONTE BOA,1301605,,,,0233
2111052,MA,SAO JOAO DO PARAISO,2111052,,,,0234
1303601,AM,SANTA ISABEL DO RIO NEGRO,1303601,,,,0237
2111250,MA,SAO JOSE DOS BASILIOS,2111250,,,,0238
2111532,MA,SAO PEDRO DA AGUA BRANCA,2111532,,,,0240
2111631,MA,SAO RAIMUNDO DO DOCA BEZERRA,2111631,,,,0244
1302108,AM,JAPURA,1302108,,,,0245
2111722,MA,SATUBINHA,2111722,,,,0248
1302306,AM,JUTAI,1302306,,,,0249
2111763,MA,SENADOR LA ROCQUE,2111763,,,,0252
1302504,AM,MANACAPURU,1302504,,,,0253
2111953,MA,SUCUPIRA DO RIACHAO,2111953,,,,0256
1302702,AM,MANICORE,1302702,,,,0257
2112274,MA,TUFILANDIA,2112274,,,,0260
1302900,AM,MAUES,1302900,,,,0261
1303106,AM,NOVA OLINDA DO NORTE,1303106,,,,0265
2200459,PI,ALVORADA DO GURGUEIA,2200459,,,,0268
1303403,AM,PARINTINS,1303403,,,,0269
2201176,PI,BARRA D'ALCANTARA,2201176,,,,0272
1303700,AM,SANTO ANTONIO DO ICA,1303700,,,,0273
1303908,AM,SAO PAULO DE OLIVENCA,1303908,,,,0275
2201572,PI,BELEM DO PIAUI,2201572,,,,0276
2201739,PI,BETANIA DO PIAUI,2201739,,,,0278
1304104,AM,TAPAUA,1304104,,,,0279
2201945,PI,BOQUEIRAO DO PIAUI,2201945,,,,0282
1304302,AM,URUCARA,1304302,,,,0285
2202075,PI,CAJAZEIRAS DO PIAUI,2202075,,,,0286
1300029,AM,ALVARAES,1300029,,,,0289
2202117,PI,CAMPO ALEGRE DO FIDALGO,2202117,,,,0290
1300086,AM,ANAMA,1300086,,,,0293
2202174,PI,CAMPO LARGO DO PIAUI,2202174,,,,0294
1300631,AM,BERURI,1300631,,,,0295
1300680,AM,BOA VISTA DO RAMOS,1300680,,,,0297
2202539,PI,CARAUBAS DO PIAUI,2202539,,,,0298
1400100,RR,BOA VISTA,1400100,,,,0301
2202653,PI,CAXINGO,2202653,,,,0302
1400159,RR,BONFIM,1400159,,,,0307
1400407,RR,NORMANDIA,1400407,,,,0311
2203271,PI,CURRAL NOVO DO PIAUI,2203271,,,,0312
1400605,RR,SAO LUIZ,1400605,,,,0315
1712702,TO,MATEIROS,1712702,,,,0317
2204352,PI,GEMINIANO,2204352,,,,0318
2204550,PI,GUARIBAS,2204550,,,,0320
1718659,TO,RIO DA CONCEICAO,1718659,,,,0323
2205276,PI,JATOBA DO PIAUI,2205276,,,,0324
1703867,TO,CARIRI DO TOCANTINS,1703867,,,,0327
2205458,PI,JOCA MARQUES,2205458,,,,0328
2205524,PI,JULIO BORGES,2205524,,,,0332
2205573,PI,LAGOA DE SAO FRANCISCO,2205573,,,,0338
1703305,TO,BOM JESUS DO TOCANTINS,1703305,,,,0341
1708254,TO,FORTALEZA DO TABOCAO,1708254,,,,0345
2206357,PI,MILTON BRANDAO,2206357,,,,0348
1712009,TO,LAJEADO,1712009,,,,0351
2206670,PI,MORRO DO CHAPEU DO PIAUI,2206670,,,,0352
1717206,TO,PIRAQUE,1717206,,,,0355
2206753,PI,NOSSA SENHORA DE NAZARE,2206753,,,,0356
1720150,TO,SAO FELIX DO TOCANTINS,1720150,,,,0363
2207553,PI,PAQUETA,2207553,,,,0364
1721307,TO,TUPIRATINS,1721307,,,,0365
1711902,TO,LAGOA DA CONFUSAO,1711902,,,,0367
2207934,PI,PEDRO LAURENTINO,2207934,,,,0368
1506351,PA,SANTA BARBARA DO PARA,1506351,,,,0369
2207959,PI,NOVA SANTA RITA,2207959,,,,0370
2208858,PI,RIACHO FRIO,2208858,,,,0374
